State,District
Andhra Pradesh,Alluri Sitharama Raju
Andhra Pradesh,Chittoor
Andhra Pradesh,Guntur
Andhra Pradesh,Krishna
Andhra Pradesh,Kurnool
Andhra Pradesh,Nandyal
Andhra Pradesh,Ntr
Andhra Pradesh,Palnadu
Andhra Pradesh,Prakasam
Andhra Pradesh,Anantapur
Andhra Pradesh,Srikakulam
Andhra Pradesh,Visakhapatnam
Andhra Pradesh,West Godavari
Andhra Pradesh,Cuddapah
Arunachal Pradesh,Anjaw
Arunachal Pradesh,Dibang Valley
Arunachal Pradesh,East Kameng
Arunachal Pradesh,Lower Dibang Valley
Arunachal Pradesh,Lower Subansiri
Arunachal Pradesh,Papum Pare
Arunachal Pradesh,Tirap
Arunachal Pradesh,Upper Siang
Arunachal Pradesh,Upper Subansiri
Arunachal Pradesh,West Kameng
Assam,Barpeta
Assam,Cachar
Assam,Chirang
Assam,Dhubri
Assam,Dibrugarh
Assam,Dima Hasao
Assam,Hailakandi
Assam,Jorhat
Assam,Kamrup
Assam,Kamrup Metropolitan
Assam,Karbi Anglo
Assam,Kokrajhar
Assam,Lakhimpur
Assam,Majuli
Assam,Morigaon
Assam,Nagaon
Assam,Sonitpur
Assam,South Salmara-Mankachar
Assam,Udalguri
Assam,West Karbi Anglong
Bihar,Araria
Bihar,Arwal
Bihar,Banka
Bihar,Begusarai
Bihar,Bhagalpur
Bihar,Buxar
Bihar,Gaya
Bihar,Jehanabad
Bihar,Kaimur(Bhabua)
Bihar,Katihar
Bihar,Khagaria
Bihar,Kishanganj
Bihar,Lakhisarai
Bihar,Madhepura
Bihar,Madhubani
Bihar,Muzaffarpur
Bihar,Nawada
Bihar,Paschim Champaran
Bihar,Rohtas
Bihar,Saharasa
Bihar,Sitamarhi
Bihar,Siwan
Bihar,Vaishali
Chhattisgarh,Balod
Chhattisgarh,Bastar(Jagdalpur)
Chhattisgarh,Dhamtari
Chhattisgarh,Durg
Chhattisgarh,Jashpur
Chhattisgarh,Kawardha(Kabirdham)
Chhattisgarh,Kondagaon
Chhattisgarh,Korba
Chhattisgarh,Koriya
Chhattisgarh,Mahasamund
Chhattisgarh,Mungeli
Chhattisgarh,Narayanpur
Chhattisgarh,Raipur
Chhattisgarh,Sukma
Chhattisgarh,Kanker
Goa,North Goa
Goa,South Goa
Gujarat,Ahmedabad
Gujarat,Amreli
Gujarat,Banas Kantha
Gujarat,Bharuch
Gujarat,Chhota Udepur
Gujarat,Dahod
Gujarat,Dangs
Gujarat,Devbhoomi Dwarka
Gujarat,Gir Somnath
Gujarat,Jamnagar
Gujarat,Kachchh
Gujarat,Mahesana
Gujarat,Panch Mahals
Gujarat,Patan
Gujarat,Porbandar
Gujarat,Sabar Kantha
Gujarat,Surat
Gujarat,Surendranagar
Gujarat,Tapi
Gujarat,Vadodara
Haryana,Ambala
Haryana,Bhiwani
Haryana,Charki Dadri
Haryana,Fatehabad
Haryana,Hisar
Haryana,Jhajjar
Haryana,Jind
Haryana,Kaithal
Haryana,Karnal
Haryana,Mahendragarh
Haryana,Nuh
Haryana,Panchkula
Haryana,Rewari
Haryana,Yamuna Nagar
Himachal Pradesh,Bilaspur
Himachal Pradesh,Chamba
Himachal Pradesh,Kangra
Himachal Pradesh,Kinnaur
Himachal Pradesh,Kullu
Himachal Pradesh,Shimla
Himachal Pradesh,Sirmaur
Himachal Pradesh,Una
Jammu and Kashmir,Bandipora
Jammu and Kashmir,Baramulla
Jammu and Kashmir,Ganderbal
Jammu and Kashmir,Jammu
Jammu and Kashmir,Kulgam
Jammu and Kashmir,Rajouri
Jammu and Kashmir,Shupiyan
Jammu and Kashmir,Udhampur
Jharkhand,Bokaro
Jharkhand,Chatra
Jharkhand,Dhanbad
Jharkhand,Garhwa
Jharkhand,Godda
Jharkhand,Khunti
Jharkhand,Koderma
Jharkhand,Latehar
Jharkhand,Palamu
Jharkhand,Ranchi
Jharkhand,Sahibganj
Jharkhand,Seraikela Kharsawan
Jharkhand,Simdega
Jharkhand,West Singhbhum
Karnataka,Bagalkot
Karnataka,Ballari
Karnataka,Bengaluru Rural
Karnataka,Bidar
Karnataka,Chikkaballapura
Karnataka,Chikkamagaluru
Karnataka,Chitradurga
