State_Name,District_Name,Composite_Quartile,Composite_Score,tag_food,tag_food_nc,Irrigation_Category,Gross_Irrigated_Area_Pct
ARUNACHAL PRADESH,Kamle,Q3,70.2285820358456,Low,Low,Sparsely Irrigated,11.58847235951639
ARUNACHAL PRADESH,Lower Siang,Q3,68.2666992972171,Low,Low,Sparsely Irrigated,16.95747001090513
BIHAR,Arwal,Q3,70.0912851415781,Low,Low,Moderately Irrigated,30.30128849930546
BIHAR,Banka,Q3,64.9903702336353,Low,Low,Moderately Irrigated,34.82843129235229
BIHAR,Begusarai,Q3,70.99411858405759,Low,Low,Highly Irrigated,63.44794173392678
BIHAR,Bhagalpur,Q3,59.68596332693043,Low,Low,Sparsely Irrigated,19.3904836806921
BIHAR,Gaya,Q3,56.56795195473273,Low,Low,Sparsely Irrigated,19.83154236553565
BIHAR,Jehanabad,Q3,61.40889654502119,Low,Low,Highly Irrigated,50.4258690173644
BIHAR,Kaimur (bhabua),Q3,63.38869172930838,Low,Low,Moderately Irrigated,40.56627740935094
BIHAR,Katihar,Q3,63.87659331840231,Low,Low,Sparsely Irrigated,22.27122797744286
BIHAR,Khagaria,Q3,62.13714077007301,Low,Low,Moderately Irrigated,42.52855861043779
BIHAR,Madhepura,Q3,60.91692369441158,Low,Low,Moderately Irrigated,36.3752791095223
BIHAR,Nalanda,Q3,63.9218368248304,Low,Low,Highly Irrigated,50.22858910678377
BIHAR,Nawada,Q3,58.77604926014788,Low,Low,Moderately Irrigated,26.52252223276458
BIHAR,Pashchim Champaran,Q2,39.94270461678455,Medium,Medium,Moderately Irrigated,32.59103418801654
BIHAR,Patna,Q3,66.76644704994585,Low,Low,Moderately Irrigated,25.73037108020527
BIHAR,Purba Champaran,Q2,39.67362846977952,Medium,Medium,Moderately Irrigated,29.86553629130329
BIHAR,Purnia,Q3,59.34610452204671,Low,Low,Highly Irrigated,50.88552103809382
BIHAR,Samastipur,Q3,61.15220809410604,Low,Low,Moderately Irrigated,42.73638477076108
BIHAR,Saran,Q3,57.79954642212055,Low,Low,Moderately Irrigated,34.92734637788944
CHHATTISGARH,Raipur,Q2,42.02557967465939,Medium,Medium,Moderately Irrigated,46.43301982932847
GOA,North Goa,Q3,60.20251413345022,Low,Low,Sparsely Irrigated,16.47305355535553
GUJARAT,Ahmadabad,Q2,54.76441395460319,Medium,Medium,Moderately Irrigated,34.85280406458538
GUJARAT,Amreli,Q3,57.54245333908253,Low,Low,Highly Irrigated,48.45891490720864
GUJARAT,Bharuch,Q3,60.66347419544529,Low,Low,Sparsely Irrigated,23.91412592736424
