State_Name,District_Name,Composite_Quartile,Composite_Score,tag_food,tag_food_nc,Irrigation_Category,Gross_Irrigated_Area_Pct
ANDHRA PRADESH,Chittoor,Q4,83.60339924931714,Medium,Medium,Sparsely Irrigated,9.151214903673724
ANDHRA PRADESH,East Godavari,Q4,90.30374654377945,High,High,Moderately Irrigated,46.10437030644084
ANDHRA PRADESH,Guntur,Q4,93.11581602567443,High,High,Moderately Irrigated,33.87336485905546
ANDHRA PRADESH,Krishna,Q4,95.24006856850107,High,High,Moderately Irrigated,43.60901857185631
ANDHRA PRADESH,Prakasam,Q3,62.90213322103831,Medium,Medium,Rainfed,5.433173060476182
ANDHRA PRADESH,Sri Potti Sriramulu Nell*,Q4,84.40202566143226,Medium,Medium,,
ANDHRA PRADESH,Srikakulam,Q3,68.71731436948835,Medium,Medium,Moderately Irrigated,28.47522355302893
ANDHRA PRADESH,Visakhapatnam,Q3,56.50286288312041,Medium,Medium,Rainfed,5.311743052774122
ANDHRA PRADESH,Vizianagaram,Q3,69.2889863606627,Medium,Medium,Moderately Irrigated,26.28401135793248
ANDHRA PRADESH,West Godavari,Q4,93.93402795597545,High,High,Moderately Irrigated,43.13165229222903
ARUNACHAL PRADESH,Kamle,Q3,70.2285820358456,Low,Low,Sparsely Irrigated,11.58847235951639
ARUNACHAL PRADESH,Lower Siang,Q3,68.2666992972171,Low,Low,Sparsely Irrigated,16.95747001090513
BIHAR,Arwal,Q3,70.0912851415781,Low,Low,Moderately Irrigated,30.30128849930546
BIHAR,Aurangabad,Q3,68.80440193823173,Medium,Medium,Moderately Irrigated,44.4603361706125
BIHAR,Banka,Q3,64.9903702336353,Low,Low,Moderately Irrigated,34.82843129235229
BIHAR,Begusarai,Q3,70.99411858405759,Low,Low,Highly Irrigated,63.44794173392678
BIHAR,Bhagalpur,Q3,59.68596332693043,Low,Low,Sparsely Irrigated,19.3904836806921
BIHAR,Buxar,Q4,73.54855623616231,Low,Low,Highly Irrigated,57.26082192108935
BIHAR,Gaya,Q3,56.56795195473273,Low,Low,Sparsely Irrigated,19.83154236553565
BIHAR,Jehanabad,Q3,61.40889654502119,Low,Low,Highly Irrigated,50.4258690173644
BIHAR,Kaimur (bhabua),Q3,63.38869172930838,Low,Low,Moderately Irrigated,40.56627740935094
BIHAR,Katihar,Q3,63.87659331840231,Low,Low,Sparsely Irrigated,22.27122797744286
BIHAR,Khagaria,Q3,62.13714077007301,Low,Low,Moderately Irrigated,42.52855861043779
BIHAR,Lakhisarai,Q4,72.45819398223398,Low,Low,Moderately Irrigated,25.38607486664282
BIHAR,Madhepura,Q3,60.91692369441158,Low,Low,Moderately Irrigated,36.3752791095223
BIHAR,Nalanda,Q3,63.9218368248304,Low,Low,Highly Irrigated,50.22858910678377
