State,food_TKcal_sum,all_TKcal_sum,n_districts
Kerala,94.23239112484698,94.23239112484698,14
Tamil Nadu,88.10751099454357,88.10751099454357,31
Karnataka,71.392403518835,71.392403518835,30
Andhra Pradesh,28.42957133834421,28.42957133834421,13
West Bengal,7.58677725039124,7.58677725039124,22
Assam,3.0169769212378,3.0169769212378,27
Uttar Pradesh,2.799861002338624,2.799861002338624,75
Goa,2.4580280732590003,2.4580280732590003,2
Andaman And Nicobar Islands,2.118075872066632,2.118075872066632,3
Madhya Pradesh,1.757784106831956,1.757784106831956,51
Punjab,1.089626514194424,1.089626514194424,22
Rajasthan,1.0004429346873,1.0004429346873,33
Maharashtra,0.814111279159052,0.814111279159052,34
Haryana,0.7034858187109361,0.7034858187109361,22
Bihar,0.6596559172972201,0.6596559172972201,38
Gujarat,0.5039522750898,0.5039522750898,33
Telangana,0.449573198541174,0.449573198541174,30
Puducherry,0.3846760057772,0.3846760057772,4
Odisha,0.289809520883764,0.289809520883764,30
Chhattisgarh,0.28073135722656,0.28073135722656,27
Jharkhand,0.144648399150912,0.144648399150912,24
Uttarakhand,0.09116236260344,0.09116236260344,13
Jammu And Kashmir,0.062243612749895996,0.062243612749895996,21
Himachal Pradesh,0.05302706820168,0.05302706820168,12
Nagaland,0.0308285221636,0.0308285221636,11
Manipur,0.0299038518914,0.0299038518914,9
Tripura,0.029689954184883998,0.029689954184883998,8
Meghalaya,0.0181878242224,0.0181878242224,11
Arunachal Pradesh,0.0144125761128,0.0144125761128,20
Sikkim,0.003472688656,0.003472688656,4
Mizoram,0.0029131039028,0.0029131039028,8
The Dadra And Nagar Haveli And Daman And Diu,0.0015208173525000002,0.0015208173525000002,3
Ladakh,0.00015015508003999998,0.00015015508003999998,1
Chandigarh,9.382826e-05,9.382826e-05,1
